State Name,Population,Ranked
California,"39,029,342",1
Texas,"30,029,572",2
Florida,"22,244,823",3
New York,"19,677,151",4
Pennsylvania,"12,972,008",5
Illinois,"12,582,032",6
Ohio,"11,756,058",7
Georgia,"10,912,876",8
North Carolina,"10,698,973",9
Michigan,"10,034,113",10
New Jersey,"9,261,699",11
Virginia,"8,683,619",12
Washington,"7,785,786",13
Arizona,"7,359,197",14
Tennessee,"7,051,339",15
Massachusetts,"6,981,974",16
Indiana,"6,833,037",17
Missouri,"6,177,957",18
Maryland,"6,164,660",19
Wisconsin,"5,892,539",20
Colorado,"5,839,926",21
Minnesota,"5,717,184",22
South Carolina,"5,282,634",23
Alabama,"5,074,296",24
Louisiana,"4,590,241",25
Kentucky,"4,512,310",26
Oregon,"4,240,137",27
Oklahoma,"4,019,800",28
Connecticut,"3,626,205",29
Utah,"3,380,800",30
Iowa,"3,200,517",31
Nevada,"3,177,772",32
Arkansas,"3,045,637",33
Mississippi,"2,940,057",34
Kansas,"2,937,150",35
New Mexico,"2,113,344",36
Nebraska,"1,967,923",37
Idaho,"1,939,033",38
West Virginia,"1,775,156",39
Hawaii,"1,440,196",40
New Hampshire,"1,395,231",41
Maine,"1,385,340",42
Montana,"1,122,867",43
Rhode Island,"1,093,734",44
Delaware,"1,018,396",45
North Dakota,"779,261",46
Alaska,"733,583",47
Wyoming,"581,381",48
